iter	Passed	Remaining
0	2	2339
1	4	2089
2	6	2015
3	8	2091
4	10	2170
5	13	2271
6	16	2278
7	17	2229
8	20	2240
9	22	2225
10	24	2218
11	26	2200
12	29	2233
13	32	2258
14	34	2269
15	36	2261
16	38	2246
17	40	2222
18	42	2202
19	45	2206
20	47	2215
21	49	2202
22	51	2182
23	53	2167
24	55	2148
25	56	2133
26	58	2119
27	61	2126
28	63	2123
29	65	2111
30	67	2099
31	69	2088
32	70	2077
33	72	2066
34	74	2056
35	77	2062
36	79	2056
37	81	2054
38	82	2043
39	84	2033
40	86	2023
41	88	2014
42	90	2005
43	92	2007
44	94	2006
45	96	1997
46	98	1989
47	99	1981
48	101	1976
49	103	1969
50	105	1963
51	107	1960
52	109	1965
53	111	1957
54	113	1951
55	115	1944
56	117	1937
57	118	1932
58	120	1926
59	122	1921
60	125	1927
61	127	1922
62	128	1917
63	130	1914
64	132	1911
65	134	1910
66	136	1907
67	138	1902
68	141	1905
69	143	1900
70	144	1896
71	146	1890
72	148	1885
73	150	1880
74	152	1875
75	153	1870
76	156	1873
77	158	1869
78	160	1866
79	161	1861
80	163	1856
81	165	1852
82	167	1848
83	169	1844
84	171	1843
85	173	1842
86	175	1838
87	177	1835
88	178	1830
89	180	1829
90	182	1825
91	184	1822
92	186	1819
93	189	1821
94	190	1816
95	192	1813
96	194	1809
97	196	1806
98	198	1802
99	199	1798
100	201	1795
101	204	1796
102	205	1793
103	207	1789
104	209	1786
105	211	1783
106	213	1779
107	215	1775
108	216	1772
109	219	1774
110	221	1771
111	223	1768
112	224	1764
113	226	1761
114	228	1757
115	230	1754
116	232	1751
117	234	1749
118	236	1749
119	238	1746
120	240	1743
121	241	1740
122	243	1737
123	245	1734
124	247	1732
125	249	1730
126	251	1731
127	253	1728
128	255	1725
129	257	1723
130	259	1720
131	261	1717
132	262	1713
133	264	1710
134	267	1712
135	269	1709
136	270	1706
137	272	1703
138	274	1703
139	276	1700
140	278	1698
141	280	1695
142	283	1697
143	285	1694
144	286	1691
145	288	1688
146	290	1686
147	292	1683
148	294	1680
149	296	1678
150	298	1679
151	300	1678
152	302	1675
153	304	1672
154	306	1670
155	308	1668
156	310	1665
157	312	1663
158	314	1665
159	316	1664
160	319	1662
161	321	1661
162	323	1659
163	325	1657
164	327	1655
165	329	1653
166	331	1655
167	333	1653
168	335	1650
169	337	1648
170	339	1645
171	341	1643
172	343	1640
173	345	1639
174	347	1639
175	349	1636
176	351	1632
177	353	1630
178	355	1628
179	356	1625
180	358	1623
181	360	1622
182	363	1621
183	365	1618
184	366	1616
185	368	1613
186	370	1612
187	372	1609
188	374	1607
189	376	1607
190	378	1605
191	380	1602
192	382	1600
193	384	1599
194	386	1597
195	388	1595
196	390	1593
197	393	1594
198	395	1592
199	397	1590
200	399	1588
201	401	1585
202	403	1582
203	404	1580
204	406	1577
205	409	1577
206	411	1575
207	412	1572
208	414	1569
209	416	1566
210	418	1564
211	420	1562
212	422	1559
213	424	1559
214	426	1557
215	428	1555
216	430	1553
217	432	1551
218	434	1548
219	436	1547
220	438	1544
221	440	1543
222	442	1542
223	444	1540
224	446	1537
225	448	1535
226	450	1533
227	452	1531
228	454	1529
229	456	1529
230	458	1527
231	460	1524
232	462	1522
233	464	1519
234	466	1517
235	468	1515
236	470	1513
237	472	1513
238	474	1511
239	476	1508
240	478	1506
241	480	1504
242	482	1502
243	484	1500
244	486	1498
245	488	1498
246	490	1496
247	492	1494
248	494	1492
249	496	1490
250	498	1488
251	500	1485
252	502	1483
253	505	1483
254	506	1481
255	508	1478
256	510	1476
257	512	1473
258	514	1471
259	516	1469
260	518	1466
261	520	1466
262	522	1464
263	524	1462
264	526	1460
265	528	1458
266	530	1456
267	532	1453
268	534	1452
269	536	1451
270	538	1449
271	540	1447
272	542	1445
273	544	1443
274	546	1441
275	548	1439
276	551	1439
277	553	1437
278	555	1435
279	557	1433
280	559	1431
281	561	1429
282	563	1427
283	565	1425
284	568	1425
285	570	1424
286	572	1422
287	574	1419
288	576	1417
289	578	1415
290	580	1413
291	582	1411
292	584	1410
293	586	1408
294	588	1406
295	590	1404
296	592	1401
297	594	1399
298	595	1397
299	597	1395
300	600	1394
301	602	1392
302	604	1390
303	606	1388
304	608	1386
305	610	1384
306	612	1381
307	614	1379
308	616	1379
309	618	1377
310	620	1375
311	622	1373
312	624	1371
313	626	1369
314	628	1367
315	630	1365
316	633	1364
317	635	1361
318	636	1359
319	638	1357
320	640	1355
321	642	1352
322	644	1350
323	646	1349
324	649	1348
325	651	1346
326	652	1343
327	654	1341
328	656	1339
329	658	1337
330	660	1334
331	663	1335
332	665	1333
333	667	1331
334	669	1329
335	671	1327
336	673	1325
337	675	1323
338	678	1322
339	680	1321
340	682	1319
341	684	1317
342	686	1315
343	688	1313
344	690	1310
345	692	1309
346	695	1308
347	697	1307
348	699	1304
349	701	1302
350	703	1300
351	705	1298
352	707	1296
353	709	1295
354	712	1293
355	714	1291
356	715	1289
357	717	1287
358	719	1285
359	721	1282
360	723	1281
361	726	1280
362	728	1278
363	730	1276
364	732	1274
365	734	1272
366	736	1270
367	738	1268
368	741	1267
369	744	1266
370	746	1264
371	748	1263
372	750	1260
373	751	1258
374	753	1256
375	755	1254
376	758	1253
377	760	1251
378	762	1249
379	764	1247
380	766	1245
381	768	1243
382	770	1241
383	773	1240
384	775	1238
385	777	1236
386	779	1234
387	781	1232
388	783	1229
389	785	1228
390	787	1226
391	790	1226
392	793	1224
393	795	1222
394	797	1220
395	799	1219
396	801	1216
397	803	1214
398	805	1213
399	808	1212
400	810	1210
401	812	1208
402	814	1206
403	816	1203
404	817	1201
405	819	1199
406	822	1198
407	824	1195
408	826	1193
409	827	1191
410	829	1189
411	831	1186
412	833	1185
413	836	1183
414	838	1182
415	840	1179
416	842	1177
417	844	1175
418	846	1173
419	848	1171
420	849	1168
421	852	1167
422	854	1165
423	856	1163
424	858	1161
425	860	1160
426	862	1157
427	864	1155
428	867	1155
429	870	1153
430	872	1151
431	874	1149
432	876	1147
433	878	1145
434	880	1143
435	882	1141
436	885	1141
437	888	1139
438	890	1137
439	892	1135
440	894	1133
441	896	1131
442	897	1128
443	903	1130
444	905	1129
445	907	1127
446	909	1125
447	911	1123
448	913	1121
449	917	1121
450	919	1119
451	921	1117
452	923	1115
453	925	1112
454	927	1110
455	929	1108
456	933	1108
457	935	1107
458	938	1105
459	940	1103
460	941	1101
461	944	1099
462	946	1098
463	948	1096
464	950	1093
465	952	1091
466	954	1089
467	956	1087
468	958	1085
469	960	1083
470	963	1082
471	965	1080
472	967	1078
473	969	1075
474	971	1073
475	973	1071
476	975	1069
477	977	1067
478	980	1066
479	982	1063
480	983	1061
481	985	1059
482	987	1057
483	989	1055
484	991	1052
485	993	1051
486	996	1049
487	997	1047
488	999	1044
489	1001	1042
490	1003	1040
491	1005	1038
492	1007	1035
493	1009	1034
494	1012	1032
495	1013	1030
496	1015	1028
497	1017	1025
498	1019	1023
499	1021	1021
500	1023	1019
501	1025	1017
502	1028	1016
503	1030	1014
504	1032	1012
505	1034	1010
506	1036	1007
507	1038	1005
508	1040	1003
509	1043	1002
510	1045	1000
511	1047	998
512	1049	996
513	1051	994
514	1053	992
515	1055	990
516	1059	989
517	1061	987
518	1063	985
519	1065	983
520	1067	980
521	1068	978
522	1070	976
523	1073	975
524	1076	973
525	1078	971
526	1080	969
527	1082	967
528	1084	965
529	1085	963
530	1087	960
531	1090	959
532	1093	957
533	1095	955
534	1097	953
535	1099	951
536	1101	949
537	1103	947
538	1106	946
539	1108	944
540	1110	941
541	1112	939
542	1114	937
543	1115	935
544	1117	933
545	1120	931
546	1122	929
547	1124	927
548	1126	925
549	1128	923
550	1130	921
551	1132	919
552	1134	917
553	1137	916
554	1139	914
555	1141	911
556	1143	909
557	1145	907
558	1147	905
559	1149	903
560	1152	902
561	1155	900
562	1157	898
563	1159	895
564	1160	893
565	1162	891
566	1164	889
567	1166	887
568	1169	886
569	1172	884
570	1174	882
571	1176	880
572	1178	877
573	1180	875
574	1182	873
575	1184	872
576	1187	870
577	1188	867
578	1190	865
579	1192	863
580	1194	861
581	1196	859
582	1198	857
583	1201	856
584	1203	853
585	1206	852
586	1207	849
587	1209	847
588	1211	845
589	1213	843
590	1217	842
591	1219	840
592	1220	837
593	1222	835
594	1224	833
595	1226	831
596	1228	829
597	1230	827
598	1233	825
599	1235	823
600	1237	821
601	1238	819
602	1240	816
603	1242	814
604	1244	812
605	1247	811
606	1249	809
607	1251	807
608	1253	804
609	1255	802
610	1257	800
611	1259	798
612	1261	796
613	1263	794
614	1265	792
615	1267	790
616	1269	788
617	1271	785
618	1273	783
619	1275	781
620	1277	779
621	1279	777
622	1281	775
623	1283	773
624	1285	771
625	1287	769
626	1289	766
627	1290	764
628	1292	762
629	1295	760
630	1297	758
631	1299	756
632	1301	754
633	1302	752
634	1304	750
635	1306	747
636	1309	745
637	1311	744
638	1313	742
639	1315	740
640	1317	737
641	1319	735
642	1321	733
643	1323	731
644	1325	729
645	1328	727
646	1330	725
647	1331	723
648	1333	721
649	1335	719
650	1337	717
651	1339	714
652	1341	713
653	1344	711
654	1346	709
655	1348	707
656	1350	705
657	1352	702
658	1354	700
659	1355	698
660	1358	696
661	1360	694
662	1362	692
663	1364	690
664	1366	688
665	1367	685
666	1369	683
667	1371	681
668	1373	679
669	1375	677
670	1377	675
671	1379	673
672	1381	671
673	1383	668
674	1384	666
675	1386	664
676	1388	662
677	1391	660
678	1392	658
679	1394	656
680	1396	654
681	1398	652
682	1400	649
683	1401	647
684	1403	645
685	1406	643
686	1408	641
687	1409	639
688	1411	637
689	1413	635
690	1415	632
691	1417	630
692	1418	628
693	1421	626
694	1423	624
695	1425	622
696	1427	620
697	1429	618
698	1431	616
699	1432	614
700	1434	611
701	1437	610
702	1439	608
703	1441	605
704	1442	603
705	1444	601
706	1446	599
707	1448	597
708	1450	595
709	1453	593
710	1455	591
711	1457	589
712	1458	587
713	1460	585
714	1462	583
715	1464	581
716	1466	578
717	1469	577
718	1471	575
719	1473	572
720	1475	570
721	1476	568
722	1478	566
723	1480	564
724	1482	562
725	1485	560
726	1487	558
727	1489	556
728	1491	554
729	1493	552
730	1494	550
731	1496	547
732	1498	545
733	1501	543
734	1502	541
735	1504	539
736	1506	537
737	1508	535
738	1510	533
739	1511	531
740	1513	529
741	1516	527
742	1518	525
743	1519	522
744	1521	520
745	1523	518
746	1525	516
747	1527	514
748	1529	512
749	1531	510
750	1533	508
751	1535	506
752	1537	504
753	1539	502
754	1541	500
755	1543	498
756	1544	495
757	1547	493
758	1549	491
759	1551	489
760	1553	487
761	1555	485
762	1557	483
763	1559	481
764	1560	479
765	1563	477
766	1565	475
767	1567	473
768	1568	471
769	1570	469
770	1572	467
771	1574	464
772	1576	462
773	1577	460
774	1580	458
775	1582	456
776	1583	454
777	1585	452
778	1587	450
779	1589	448
780	1591	446
781	1592	444
782	1595	442
783	1597	440
784	1599	437
785	1600	435
786	1602	433
787	1604	431
788	1606	429
789	1608	427
790	1610	425
791	1612	423
792	1614	421
793	1616	419
794	1617	417
795	1619	415
796	1621	413
797	1623	410
798	1625	408
799	1627	406
800	1629	404
801	1631	402
802	1633	400
803	1635	398
804	1637	396
805	1639	394
806	1640	392
807	1643	390
808	1645	388
809	1647	386
810	1649	384
811	1650	382
812	1652	380
813	1654	378
814	1656	375
815	1658	374
816	1660	371
817	1662	369
818	1664	367
819	1666	365
820	1667	363
821	1669	361
822	1671	359
823	1673	357
824	1675	355
825	1677	353
826	1679	351
827	1681	349
828	1682	347
829	1684	345
830	1686	343
831	1689	341
832	1691	339
833	1693	337
834	1695	335
835	1697	332
836	1699	330
837	1701	328
838	1703	326
839	1706	325
840	1708	323
841	1710	320
842	1712	318
843	1714	316
844	1716	314
845	1717	312
846	1719	310
847	1722	308
848	1723	306
849	1725	304
850	1727	302
851	1729	300
852	1731	298
853	1732	296
854	1734	294
855	1737	292
856	1739	290
857	1740	288
858	1742	286
859	1744	283
860	1746	281
861	1748	279
862	1749	277
863	1751	275
864	1754	273
865	1756	271
866	1758	269
867	1759	267
868	1761	265
869	1763	263
870	1765	261
871	1767	259
872	1769	257
873	1771	255
874	1773	253
875	1775	251
876	1777	249
877	1779	247
878	1781	245
879	1782	243
880	1785	241
881	1787	239
882	1789	237
883	1791	235
884	1793	233
885	1795	231
886	1797	229
887	1799	226
888	1802	225
889	1804	222
890	1806	220
891	1808	218
892	1810	216
893	1812	214
894	1814	212
895	1816	210
896	1818	208
897	1820	206
898	1822	204
899	1824	202
900	1827	200
901	1829	198
902	1831	196
903	1833	194
904	1835	192
905	1838	190
906	1840	188
907	1842	186
908	1844	184
909	1846	182
910	1849	180
911	1851	178
912	1853	176
913	1855	174
914	1857	172
915	1859	170
916	1862	168
917	1864	166
918	1866	164
919	1869	162
920	1871	160
921	1873	158
922	1876	156
923	1879	154
924	1881	152
925	1883	150
926	1886	148
927	1888	146
928	1890	144
929	1893	142
930	1895	140
931	1898	138
932	1900	136
933	1903	134
934	1905	132
935	1908	130
936	1910	128
937	1913	126
938	1915	124
939	1918	122
940	1920	120
941	1923	118
942	1926	116
943	1930	114
944	1934	112
945	1937	110
946	1941	108
947	1945	106
948	1949	104
949	1952	102
950	1956	100
951	1960	98
952	1964	96
953	1966	94
954	1970	92
955	1975	90
956	1979	88
957	1982	86
958	1985	84
959	1988	82
960	1992	80
961	1996	78
962	2000	76
963	2003	74
964	2007	72
965	2010	70
966	2033	69
967	2041	67
968	2046	65
969	2050	63
970	2062	61
971	2066	59
972	2071	57
973	2075	55
974	2078	53
975	2081	51
976	2085	49
